work_id,Work category,State_x,Constituency_x,Sanction Amount ( ₹ ),Fund Disbursed Amount ( ₹ ),expenditure_ratio,duration_days,sanction_delay_days,payment_count,vendor_count,cost_vs_category_avg,risk_score,final_risk_category,alert_type,risk_reasons
WS/MP620/2024-2025/133308,Normal/Others,Karnataka,DHARWAD,399304.0,399304.0,1.0,287.0,39,1.0,1.0,0.763160283665311,50.0,High Risk,Rule-Based High Risk,Long Duration; High Expenditure; Late First Payment; 
WS/MP620/2024-2025/133309,Normal/Others,Karnataka,DHARWAD,495031.0,495031.0,1.0,228.0,248,1.0,1.0,0.9461162382122958,50.0,High Risk,Rule-Based High Risk,Long Sanction Delay; High Expenditure; Late First Payment; 
WS/MP620/2024-2025/133310,Normal/Others,Karnataka,DHARWAD,247583.0,247583.0,1.0,282.0,44,1.0,1.0,0.47318712687753867,50.0,High Risk,Rule-Based High Risk,Long Duration; High Expenditure; Late First Payment; 
WS/MP620/2024-2025/133311,Normal/Others,Karnataka,DHARWAD,250000.0,0.0,0.0,742.0,44,0.0,0.0,0.4778065607064486,16.666666666666664,Low Risk,Normal,Long Duration; 
WS/MP620/2024-2025/133312,Normal/Others,Karnataka,DHARWAD,498091.0,498091.0,1.0,319.0,16,1.0,1.0,0.9519645905153428,50.0,High Risk,Rule-Based High Risk,Long Duration; High Expenditure; Late First Payment; 
WS/MP418/2024-2025/133409,Normal/Others,Bihar,ARARIA,448127.0,448127.0,1.0,53.0,2,1.0,1.0,0.8564720825187947,16.666666666666664,Low Risk,Normal,High Expenditure; 
WS/MP498/2024-2025/133447,Normal/Others,West Bengal,BALURGHAT,1602957.0,1602957.0,1.0,719.0,25,1.0,1.0,3.0636134845213068,66.66666666666666,High Risk,Priority Alert,High Cost; Long Duration; High Expenditure; Late First Payment; 
WS/MP577/2025-2026/133549,Normal/Others,Gujarat,DAHOD(ST),250000.0,250000.0,1.0,316.0,268,1.0,1.0,0.4778065607064486,66.66666666666666,High Risk,Rule-Based High Risk,Long Duration; Long Sanction Delay; High Expenditure; Late First Payment; 
WS/MP577/2025-2026/133550,Normal/Others,Gujarat,DAHOD(ST),245697.0,0.0,0.0,331.0,447,0.0,0.0,0.4695825541835692,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP577/2025-2026/133551,Normal/Others,Gujarat,DAHOD(ST),242105.0,242105.0,1.0,127.0,457,1.0,1.0,0.4627174295193389,50.0,High Risk,Rule-Based High Risk,Long Sanction Delay; High Expenditure; Late First Payment; 
WS/MP577/2025-2026/133552,Normal/Others,Gujarat,DAHOD(ST),250000.0,0.0,0.0,510.0,268,0.0,0.0,0.4778065607064486,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP577/2025-2026/133553,Normal/Others,Gujarat,DAHOD(ST),245697.0,0.0,0.0,331.0,447,0.0,0.0,0.4695825541835692,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP577/2025-2026/133554,Normal/Others,Gujarat,DAHOD(ST),245098.0,0.0,0.0,321.0,457,0.0,0.0,0.46843772966411656,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP577/2025-2026/133556,Normal/Others,Gujarat,DAHOD(ST),245697.0,0.0,0.0,331.0,447,0.0,0.0,0.4695825541835692,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP577/2025-2026/133557,Normal/Others,Gujarat,DAHOD(ST),250000.0,0.0,0.0,244.0,534,0.0,0.0,0.4778065607064486,16.666666666666664,Low Risk,Normal,Long Sanction Delay; 
WS/MP577/2025-2026/133558,Normal/Others,Gujarat,DAHOD(ST),245697.0,0.0,0.0,331.0,447,0.0,0.0,0.4695825541835692,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP577/2025-2026/133559,Normal/Others,Gujarat,DAHOD(ST),245098.0,0.0,0.0,321.0,457,0.0,0.0,0.46843772966411656,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP577/2025-2026/133560,Normal/Others,Gujarat,DAHOD(ST),245826.0,0.0,0.0,321.0,457,0.0,0.0,0.46982910236889375,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP577/2025-2026/133561,Normal/Others,Gujarat,DAHOD(ST),245826.0,0.0,0.0,321.0,457,0.0,0.0,0.46982910236889375,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP577/2025-2026/133562,Normal/Others,Gujarat,DAHOD(ST),245697.0,0.0,0.0,331.0,447,0.0,0.0,0.4695825541835692,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP577/2025-2026/133563,Normal/Others,Gujarat,DAHOD(ST),245697.0,245356.0,0.9986121116659951,329.0,447,1.0,1.0,0.4695825541835692,66.66666666666666,High Risk,Rule-Based High Risk,Long Duration; Long Sanction Delay; High Expenditure; Late First Payment; 
WS/MP577/2025-2026/133564,Normal/Others,Gujarat,DAHOD(ST),250000.0,0.0,0.0,130.0,534,0.0,0.0,0.4778065607064486,16.666666666666664,Low Risk,Normal,Long Sanction Delay; 
WS/MP577/2025-2026/133565,Normal/Others,Gujarat,DAHOD(ST),250000.0,250000.0,1.0,301.0,268,1.0,1.0,0.4778065607064486,66.66666666666666,High Risk,Rule-Based High Risk,Long Duration; Long Sanction Delay; High Expenditure; Late First Payment; 
WS/MP577/2025-2026/133566,Normal/Others,Gujarat,DAHOD(ST),250000.0,0.0,0.0,331.0,447,0.0,0.0,0.4778065607064486,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP577/2025-2026/133567,Normal/Others,Gujarat,DAHOD(ST),245098.0,245098.0,1.0,201.0,457,1.0,1.0,0.46843772966411656,50.0,High Risk,Rule-Based High Risk,Long Sanction Delay; High Expenditure; Late First Payment; 
WS/MP577/2025-2026/133568,Normal/Others,Gujarat,DAHOD(ST),245697.0,0.0,0.0,331.0,447,0.0,0.0,0.4695825541835692,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP577/2025-2026/133569,Normal/Others,Gujarat,DAHOD(ST),250000.0,250000.0,1.0,316.0,268,1.0,1.0,0.4778065607064486,66.66666666666666,High Risk,Rule-Based High Risk,Long Duration; Long Sanction Delay; High Expenditure; Late First Payment; 
WS/MP577/2025-2026/133570,Normal/Others,Gujarat,DAHOD(ST),250000.0,0.0,0.0,510.0,268,0.0,0.0,0.4778065607064486,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP577/2025-2026/133571,Normal/Others,Gujarat,DAHOD(ST),250000.0,0.0,0.0,510.0,268,0.0,0.0,0.4778065607064486,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP577/2025-2026/133572,Normal/Others,Gujarat,DAHOD(ST),245826.0,0.0,0.0,321.0,457,0.0,0.0,0.46982910236889375,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP577/2025-2026/133573,Normal/Others,Gujarat,DAHOD(ST),245697.0,0.0,0.0,331.0,447,0.0,0.0,0.4695825541835692,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP577/2025-2026/133574,Normal/Others,Gujarat,DAHOD(ST),245697.0,0.0,0.0,331.0,447,0.0,0.0,0.4695825541835692,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP577/2024-2025/133575,Normal/Others,Gujarat,DAHOD(ST),250000.0,0.0,0.0,525.0,253,0.0,0.0,0.4778065607064486,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP577/2024-2025/133576,Normal/Others,Gujarat,DAHOD(ST),250000.0,0.0,0.0,525.0,253,0.0,0.0,0.4778065607064486,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP577/2025-2026/133577,Normal/Others,Gujarat,DAHOD(ST),245826.0,0.0,0.0,321.0,457,0.0,0.0,0.46982910236889375,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP577/2024-2025/133578,Normal/Others,Gujarat,DAHOD(ST),250000.0,0.0,0.0,525.0,253,0.0,0.0,0.4778065607064486,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP577/2025-2026/133579,Normal/Others,Gujarat,DAHOD(ST),247496.0,247496.0,1.0,334.0,444,1.0,1.0,0.4730208501944128,66.66666666666666,High Risk,Rule-Based High Risk,Long Duration; Long Sanction Delay; High Expenditure; Late First Payment; 
WS/MP577/2025-2026/133580,Normal/Others,Gujarat,DAHOD(ST),247496.0,0.0,0.0,334.0,444,0.0,0.0,0.4730208501944128,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP577/2025-2026/133581,Normal/Others,Gujarat,DAHOD(ST),250000.0,0.0,0.0,234.0,544,0.0,0.0,0.4778065607064486,16.666666666666664,Low Risk,Normal,Long Sanction Delay; 
WS/MP577/2025-2026/133582,Normal/Others,Gujarat,DAHOD(ST),250000.0,0.0,0.0,234.0,544,0.0,0.0,0.4778065607064486,16.666666666666664,Low Risk,Normal,Long Sanction Delay; 
WS/MP577/2025-2026/133583,Normal/Others,Gujarat,DAHOD(ST),250000.0,0.0,0.0,234.0,544,0.0,0.0,0.4778065607064486,16.666666666666664,Low Risk,Normal,Long Sanction Delay; 
WS/MP577/2024-2025/133584,Normal/Others,Gujarat,DAHOD(ST),249291.0,249291.0,1.0,513.0,253,1.0,1.0,0.4764515013002851,66.66666666666666,High Risk,Rule-Based High Risk,Long Duration; Long Sanction Delay; High Expenditure; Late First Payment; 
WS/MP577/2024-2025/133585,Normal/Others,Gujarat,DAHOD(ST),250000.0,249291.0,0.997164,513.0,253,1.0,1.0,0.4778065607064486,66.66666666666666,High Risk,Rule-Based High Risk,Long Duration; Long Sanction Delay; High Expenditure; Late First Payment; 
WS/MP577/2024-2025/133586,Normal/Others,Gujarat,DAHOD(ST),249291.0,0.0,0.0,525.0,253,0.0,0.0,0.4764515013002851,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP577/2025-2026/133587,Normal/Others,Gujarat,DAHOD(ST),247496.0,0.0,0.0,334.0,444,0.0,0.0,0.4730208501944128,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP577/2024-2025/133588,Normal/Others,Gujarat,DAHOD(ST),250000.0,249291.0,0.997164,514.0,253,1.0,1.0,0.4778065607064486,66.66666666666666,High Risk,Rule-Based High Risk,Long Duration; Long Sanction Delay; High Expenditure; Late First Payment; 
WS/MP577/2025-2026/133589,Normal/Others,Gujarat,DAHOD(ST),250000.0,0.0,0.0,234.0,544,0.0,0.0,0.4778065607064486,16.666666666666664,Low Risk,Normal,Long Sanction Delay; 
WS/MP577/2025-2026/133590,Normal/Others,Gujarat,DAHOD(ST),250000.0,0.0,0.0,234.0,544,0.0,0.0,0.4778065607064486,16.666666666666664,Low Risk,Normal,Long Sanction Delay; 
WS/MP577/2025-2026/133591,Normal/Others,Gujarat,DAHOD(ST),250000.0,248443.0,0.993772,221.0,544,1.0,1.0,0.4778065607064486,50.0,High Risk,Rule-Based High Risk,Long Sanction Delay; High Expenditure; Late First Payment; 
WS/MP577/2024-2025/133592,Normal/Others,Gujarat,DAHOD(ST),249291.0,0.0,0.0,525.0,253,0.0,0.0,0.4764515013002851,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP577/2025-2026/133593,Normal/Others,Gujarat,DAHOD(ST),350000.0,0.0,0.0,244.0,534,0.0,0.0,0.668929184989028,16.666666666666664,Low Risk,Normal,Long Sanction Delay; 
WS/MP577/2025-2026/133594,Normal/Others,Gujarat,DAHOD(ST),250000.0,0.0,0.0,234.0,544,0.0,0.0,0.4778065607064486,16.666666666666664,Low Risk,Normal,Long Sanction Delay; 
WS/MP577/2025-2026/133595,Normal/Others,Gujarat,DAHOD(ST),247496.0,0.0,0.0,334.0,444,0.0,0.0,0.4730208501944128,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP577/2025-2026/133596,Normal/Others,Gujarat,DAHOD(ST),300000.0,0.0,0.0,234.0,544,0.0,0.0,0.5733678728477383,16.666666666666664,Low Risk,Normal,Long Sanction Delay; 
WS/MP577/2024-2025/133597,Normal/Others,Gujarat,DAHOD(ST),249291.0,249291.0,1.0,525.0,253,1.0,1.0,0.4764515013002851,66.66666666666666,High Risk,Rule-Based High Risk,Long Duration; Long Sanction Delay; High Expenditure; Late First Payment; 
WS/MP577/2024-2025/133598,Normal/Others,Gujarat,DAHOD(ST),249291.0,0.0,0.0,525.0,253,0.0,0.0,0.4764515013002851,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP577/2025-2026/133599,Normal/Others,Gujarat,DAHOD(ST),250000.0,0.0,0.0,234.0,544,0.0,0.0,0.4778065607064486,16.666666666666664,Low Risk,Normal,Long Sanction Delay; 
WS/MP577/2024-2025/133600,Normal/Others,Gujarat,DAHOD(ST),249291.0,249291.0,1.0,512.0,253,1.0,1.0,0.4764515013002851,66.66666666666666,High Risk,Rule-Based High Risk,Long Duration; Long Sanction Delay; High Expenditure; Late First Payment; 
WS/MP577/2024-2025/133601,Normal/Others,Gujarat,DAHOD(ST),249291.0,249291.0,1.0,514.0,253,1.0,1.0,0.4764515013002851,66.66666666666666,High Risk,Rule-Based High Risk,Long Duration; Long Sanction Delay; High Expenditure; Late First Payment; 
WS/MP577/2025-2026/133602,Normal/Others,Gujarat,DAHOD(ST),250000.0,250000.0,1.0,234.0,544,1.0,1.0,0.4778065607064486,50.0,High Risk,Rule-Based High Risk,Long Sanction Delay; High Expenditure; Late First Payment; 
WS/MP577/2025-2026/133603,Normal/Others,Gujarat,DAHOD(ST),250000.0,0.0,0.0,234.0,544,0.0,0.0,0.4778065607064486,16.666666666666664,Low Risk,Normal,Long Sanction Delay; 
WS/MP577/2025-2026/133604,Normal/Others,Gujarat,DAHOD(ST),250000.0,0.0,0.0,244.0,534,0.0,0.0,0.4778065607064486,16.666666666666664,Low Risk,Normal,Long Sanction Delay; 
WS/MP577/2025-2026/133605,Normal/Others,Gujarat,DAHOD(ST),250000.0,0.0,0.0,244.0,534,0.0,0.0,0.4778065607064486,16.666666666666664,Low Risk,Normal,Long Sanction Delay; 
WS/MP577/2024-2025/133606,Normal/Others,Gujarat,DAHOD(ST),250000.0,0.0,0.0,536.0,242,0.0,0.0,0.4778065607064486,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP577/2024-2025/133607,Normal/Others,Gujarat,DAHOD(ST),250000.0,0.0,0.0,536.0,242,0.0,0.0,0.4778065607064486,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP577/2024-2025/133608,Normal/Others,Gujarat,DAHOD(ST),250000.0,0.0,0.0,536.0,242,0.0,0.0,0.4778065607064486,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP577/2025-2026/133609,Normal/Others,Gujarat,DAHOD(ST),250000.0,0.0,0.0,244.0,534,0.0,0.0,0.4778065607064486,16.666666666666664,Low Risk,Normal,Long Sanction Delay; 
WS/MP577/2026-2027/133610,Normal/Others,Gujarat,DAHOD(ST),250000.0,0.0,0.0,65.0,713,0.0,0.0,0.4778065607064486,16.666666666666664,Low Risk,Normal,Long Sanction Delay; 
WS/MP577/2025-2026/133611,Normal/Others,Gujarat,DAHOD(ST),250000.0,0.0,0.0,244.0,534,0.0,0.0,0.4778065607064486,16.666666666666664,Low Risk,Normal,Long Sanction Delay; 
WS/MP577/2024-2025/133612,Normal/Others,Gujarat,DAHOD(ST),250000.0,0.0,0.0,536.0,242,0.0,0.0,0.4778065607064486,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP577/2025-2026/133613,Normal/Others,Gujarat,DAHOD(ST),250000.0,0.0,0.0,244.0,534,0.0,0.0,0.4778065607064486,16.666666666666664,Low Risk,Normal,Long Sanction Delay; 
WS/MP577/2025-2026/133614,Normal/Others,Gujarat,DAHOD(ST),250000.0,0.0,0.0,244.0,534,0.0,0.0,0.4778065607064486,16.666666666666664,Low Risk,Normal,Long Sanction Delay; 
WS/MP18152/2024-2025/133686,Normal/Others,Punjab,FARIDKOT(SC),300000.0,300000.0,1.0,248.0,11,1.0,1.0,0.5733678728477383,16.666666666666664,Low Risk,Normal,High Expenditure; 
WS/MP18152/2024-2025/133687,Normal/Others,Punjab,FARIDKOT(SC),300000.0,300000.0,1.0,248.0,11,1.0,1.0,0.5733678728477383,16.666666666666664,Low Risk,Normal,High Expenditure; 
WS/MP18152/2024-2025/133688,Normal/Others,Punjab,FARIDKOT(SC),300000.0,300000.0,1.0,248.0,11,1.0,1.0,0.5733678728477383,16.666666666666664,Low Risk,Normal,High Expenditure; 
WS/MP18152/2024-2025/133689,Normal/Others,Punjab,FARIDKOT(SC),300000.0,300000.0,1.0,248.0,11,1.0,1.0,0.5733678728477383,16.666666666666664,Low Risk,Normal,High Expenditure; 
WS/MP18152/2024-2025/133690,Normal/Others,Punjab,FARIDKOT(SC),300000.0,300000.0,1.0,248.0,11,1.0,1.0,0.5733678728477383,16.666666666666664,Low Risk,Normal,High Expenditure; 
WS/MP18152/2024-2025/133691,Normal/Others,Punjab,FARIDKOT(SC),300000.0,300000.0,1.0,248.0,11,1.0,1.0,0.5733678728477383,16.666666666666664,Low Risk,Normal,High Expenditure; 
WS/MP18152/2024-2025/133692,Normal/Others,Punjab,FARIDKOT(SC),299155.0,299155.0,1.0,217.0,42,2.0,1.0,0.5717528866725505,16.666666666666664,Low Risk,Normal,High Expenditure; 
WS/MP18152/2024-2025/133693,Normal/Others,Punjab,FARIDKOT(SC),300000.0,300000.0,1.0,248.0,11,1.0,1.0,0.5733678728477383,16.666666666666664,Low Risk,Normal,High Expenditure; 
WS/MP18152/2024-2025/133694,Normal/Others,Punjab,FARIDKOT(SC),300000.0,300000.0,1.0,248.0,11,1.0,1.0,0.5733678728477383,16.666666666666664,Low Risk,Normal,High Expenditure; 
WS/MP18152/2024-2025/133695,Normal/Others,Punjab,FARIDKOT(SC),197304.0,197304.0,1.0,217.0,42,1.0,1.0,0.3770925826145005,16.666666666666664,Low Risk,Normal,High Expenditure; 
WS/MP18152/2024-2025/133696,Normal/Others,Punjab,FARIDKOT(SC),84500.0,84500.0,1.0,248.0,11,1.0,1.0,0.1614986175187796,16.666666666666664,Low Risk,Normal,High Expenditure; 
WS/MP18152/2024-2025/133697,Normal/Others,Punjab,FARIDKOT(SC),298940.0,298940.0,1.0,217.0,42,3.0,3.0,0.571341973030343,16.666666666666664,Low Risk,Normal,High Expenditure; 
WS/MP18152/2024-2025/133698,Normal/Others,Punjab,FARIDKOT(SC),250000.0,250000.0,1.0,247.0,42,1.0,1.0,0.4778065607064486,16.666666666666664,Low Risk,Normal,High Expenditure; 
WS/MP18152/2024-2025/133699,Normal/Others,Punjab,FARIDKOT(SC),84500.0,84500.0,1.0,217.0,42,1.0,1.0,0.1614986175187796,16.666666666666664,Low Risk,Normal,High Expenditure; 
WS/MP18152/2024-2025/133700,Normal/Others,Punjab,FARIDKOT(SC),100000.0,100000.0,1.0,62.0,163,1.0,1.0,0.19112262428257942,33.33333333333333,Medium Risk,Normal,Long Sanction Delay; High Expenditure; 
WS/MP18152/2024-2025/133701,Normal/Others,Punjab,FARIDKOT(SC),84500.0,84500.0,1.0,248.0,11,1.0,1.0,0.1614986175187796,16.666666666666664,Low Risk,Normal,High Expenditure; 
WS/MP18152/2024-2025/133702,Normal/Others,Punjab,FARIDKOT(SC),84500.0,84500.0,1.0,247.0,42,1.0,1.0,0.1614986175187796,16.666666666666664,Low Risk,Normal,High Expenditure; 
WS/MP18152/2024-2025/133703,Normal/Others,Punjab,FARIDKOT(SC),84500.0,84500.0,1.0,248.0,11,1.0,1.0,0.1614986175187796,16.666666666666664,Low Risk,Normal,High Expenditure; 
WS/MP577/2024-2025/133772,Normal/Others,Gujarat,DAHOD(ST),225200.0,225200.0,1.0,317.0,172,1.0,1.0,0.4304081498843689,66.66666666666666,High Risk,Rule-Based High Risk,Long Duration; Long Sanction Delay; High Expenditure; Late First Payment; 
WS/MP577/2024-2025/133773,Normal/Others,Gujarat,DAHOD(ST),328900.0,328900.0,1.0,105.0,172,1.0,1.0,0.6286023112654038,50.0,High Risk,Rule-Based High Risk,Long Sanction Delay; High Expenditure; Late First Payment; 
WS/MP577/2024-2025/133774,Normal/Others,Gujarat,DAHOD(ST),288400.0,288400.0,1.0,105.0,172,1.0,1.0,0.5511976484309591,50.0,High Risk,Rule-Based High Risk,Long Sanction Delay; High Expenditure; Late First Payment; 
WS/MP577/2024-2025/133775,Normal/Others,Gujarat,DAHOD(ST),292600.0,292600.0,1.0,103.0,172,1.0,1.0,0.5592247986508274,50.0,High Risk,Rule-Based High Risk,Long Sanction Delay; High Expenditure; Late First Payment; 
WS/MP577/2024-2025/133776,Normal/Others,Gujarat,DAHOD(ST),289800.0,289800.0,1.0,105.0,172,1.0,1.0,0.5538733651709152,50.0,High Risk,Rule-Based High Risk,Long Sanction Delay; High Expenditure; Late First Payment; 
WS/MP641/2024-2025/133904,Normal/Others,Madhya Pradesh,KHARGONE(ST),1000000.0,900000.0,0.9,590.0,183,2.0,1.0,1.9112262428257945,50.0,High Risk,Rule-Based High Risk,Long Duration; Long Sanction Delay; High Expenditure; 
WS/MP641/2024-2025/133905,Normal/Others,Madhya Pradesh,KHARGONE(ST),250000.0,250000.0,1.0,436.0,167,2.0,1.0,0.4778065607064486,50.0,High Risk,Rule-Based High Risk,Long Duration; Long Sanction Delay; High Expenditure; 
WS/MP641/2024-2025/133906,Normal/Others,Madhya Pradesh,KHARGONE(ST),500000.0,500000.0,1.0,606.0,167,3.0,1.0,0.9556131214128972,50.0,High Risk,Rule-Based High Risk,Long Duration; Long Sanction Delay; High Expenditure; 
WS/MP641/2024-2025/133909,Normal/Others,Madhya Pradesh,KHARGONE(ST),250000.0,150000.0,0.6,681.0,92,1.0,1.0,0.4778065607064486,16.666666666666664,Low Risk,Normal,Long Duration; 
WS/MP641/2024-2025/133910,Normal/Others,Madhya Pradesh,KHARGONE(ST),200000.0,120000.0,0.6,678.0,95,1.0,1.0,0.38224524856515885,16.666666666666664,Low Risk,Normal,Long Duration; 
WS/MP641/2024-2025/133911,Normal/Others,Madhya Pradesh,KHARGONE(ST),500000.0,300000.0,0.6,682.0,91,1.0,1.0,0.9556131214128972,16.666666666666664,Low Risk,Normal,Long Duration; 
WS/MP641/2024-2025/133912,Normal/Others,Madhya Pradesh,KHARGONE(ST),1000000.0,600000.0,0.6,681.0,92,1.0,1.0,1.9112262428257945,16.666666666666664,Low Risk,AI Anomaly,Long Duration; 
WS/MP641/2024-2025/133913,Normal/Others,Madhya Pradesh,KHARGONE(ST),500000.0,300000.0,0.6,525.0,248,1.0,1.0,0.9556131214128972,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP641/2024-2025/133919,Normal/Others,Madhya Pradesh,KHARGONE(ST),200000.0,200000.0,1.0,475.0,149,2.0,1.0,0.38224524856515885,50.0,High Risk,Rule-Based High Risk,Long Duration; Long Sanction Delay; High Expenditure; 
WS/MP641/2025-2026/133920,Normal/Others,Madhya Pradesh,KHARGONE(ST),500000.0,300000.0,0.6,479.0,294,1.0,1.0,0.9556131214128972,50.0,High Risk,Rule-Based High Risk,Long Duration; Long Sanction Delay; Late First Payment; 
WS/MP641/2025-2026/133921,Normal/Others,Madhya Pradesh,KHARGONE(ST),500000.0,300000.0,0.6,486.0,287,1.0,1.0,0.9556131214128972,50.0,High Risk,Rule-Based High Risk,Long Duration; Long Sanction Delay; Late First Payment; 
WS/MP641/2024-2025/133929,Normal/Others,Madhya Pradesh,KHARGONE(ST),200000.0,120000.0,0.6,525.0,248,1.0,1.0,0.38224524856515885,33.33333333333333,Medium Risk,Normal,Long Duration; Long Sanction Delay; 
WS/MP423/2024-2025/133940,Normal/Others,Bihar,JHANJHARPUR,1451000.0,1451000.0,1.0,217.0,213,1.0,1.0,2.7731892783402277,66.66666666666666,High Risk,Rule-Based High Risk,High Cost; Long Sanction Delay; High Expenditure; Late First Payment; 
WS/MP423/2024-2025/133941,Normal/Others,Bihar,JHANJHARPUR,1451000.0,1451000.0,1.0,217.0,213,1.0,1.0,2.7731892783402277,66.66666666666666,High Risk,Rule-Based High Risk,High Cost; Long Sanction Delay; High Expenditure; Late First Payment; 
WS/MP423/2024-2025/133944,Normal/Others,Bihar,JHANJHARPUR,1451000.0,1451000.0,1.0,217.0,213,1.0,1.0,2.7731892783402277,66.66666666666666,High Risk,Rule-Based High Risk,High Cost; Long Sanction Delay; High Expenditure; Late First Payment; 
WS/MP423/2024-2025/133945,Normal/Others,Bihar,JHANJHARPUR,1451000.0,1451000.0,1.0,217.0,213,1.0,1.0,2.7731892783402277,66.66666666666666,High Risk,Rule-Based High Risk,High Cost; Long Sanction Delay; High Expenditure; Late First Payment; 
